DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,ES,2022,47432893,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2013,500900868,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2014,502988282,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2015,504294889,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2016,505991205,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2017,507224359,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2018,508376640,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2019,509017310,bep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2007,2020,510287293,ep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2013,441257711,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2014,442883888,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2015,443666812,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2016,444802830,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2017,445534430,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2018,446208557,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2019,446446444,bep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2020,447319916,ep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2021,447073916,bep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2022,446735291,bep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2013,505163008,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2014,507235091,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2015,508520205,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2016,510181874,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2017,511378572,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2018,512482133,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EU28,2019,513093556,bep
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2013,5426674,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2014,5451270,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2015,5471753,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2016,5487308,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2017,5503297,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2018,5513130,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2019,5517919,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2020,5525292,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2021,5533793,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FI,2022,5548241,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2013,65600350,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2014,66165980,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2015,66458153,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2016,66638391,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2017,66809816,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2018,67026224,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2019,67177636,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2020,67320216,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2021,67656682,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,FR,2022,67871925,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2013,4262140,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2014,4246809,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2015,4225316,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2016,4190669,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2017,4154213,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2018,4105493,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2019,4076246,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2020,4058165,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2021,4036355,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HR,2022,3862305,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2013,9908798,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2014,9877365,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2015,9855571,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2016,9830485,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2017,9797561,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2018,9778371,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2019,9772756,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2020,9769526,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2021,9730772,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,HU,2022,9689010,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2013,4609779,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2014,4637852,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2015,4677627,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2016,4726286,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2017,4784383,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2018,4830392,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2019,4904240,e
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2020,4964440,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2021,5006324,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IE,2022,5060004,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2013,59685227,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2014,60782668,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2015,60795612,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2016,60665551,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2017,60589445,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2018,60483973,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2019,59816673,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2020,59641488,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2021,59236213,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,IT,2022,59030133,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2013,2971905,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2014,2943472,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2015,2921262,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2016,2888558,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2017,2847904,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2018,2808901,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2019,2794184,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2020,2794090,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2021,2795680,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LT,2022,2805998,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2013,537039,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2014,549680,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2015,562958,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2016,576249,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2017,590667,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2018,602005,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2019,613894,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2020,626108,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2021,634730,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LU,2022,645397,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2013,2023825,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2014,2001468,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2015,1986096,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2016,1968957,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2017,1950116,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2018,1934379,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2019,1919968,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2020,1907675,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2021,1893223,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,LV,2022,1875757,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2013,422509,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2014,429424,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2015,439691,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2016,450415,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2017,460297,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2018,475701,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2019,493559,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2020,514564,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2021,516100,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,MT,2022,520971,p
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2013,16779575,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2014,16829289,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2015,16900726,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2016,16979120,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2017,17081507,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2018,17181084,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2019,17282163,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2020,17407585,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2021,17475415,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,NL,2022,17590672,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,PL,2013,38062535,
