DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2016,298,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2017,290,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2018,301,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2019,302,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2020,137,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2021,212,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HR,2022,354,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2013,2804,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2014,2603,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2015,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2016,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2017,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2018,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2019,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2020,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2021,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,HU,2022,,c
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2013,769,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2014,713,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2015,313,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2016,342,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2017,375,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2018,414,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2019,408,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2020,139,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2021,270,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IE,2022,541,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2013,3126,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2014,3145,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2015,3474,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2016,2972,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2017,2676,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2018,2596,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2019,2863,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2020,1023,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,IT,2021,1831,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,LT,2013,538,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,LT,2014,454,
