DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2015,17065,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2016,17228,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2017,17494,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2018,18242,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2019,18623,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2020,12862,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2021,11194,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,LV,2022,15694,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2013,922,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2014,1122,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2015,1236,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2016,1285,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2017,927,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2018,992,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2019,986,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,ME,2020,473,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2013,853,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2014,803,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2015,1022,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2016,663,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2017,500,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2018,540,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2019,549,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2020,253,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,MK,2021,252,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2013,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2014,,c
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,NL,2015,,c
